"","DistrictName","WithDTP","WithPolio","WithMMR","WithHepB","PctUpToDate","DistrictComplete","PctBeliefExempt","PctMedicalExempt","PctChildPoverty","PctFamilyPoverty","PctFreeMeal","Enrolled","TotalSchools"
"129","Jurupa Unified",97,98,97,98,94,TRUE,1,0,27,14,68,1534,16
"255","Baker Valley Unified",100,100,100,100,100,TRUE,0,0,21,14,89,17,1
"781","Mountain Valley Unified",67,67,71,71,67,TRUE,21,0,41,9,73,24,1
"682","Browns Elementary",100,100,100,100,100,TRUE,0,0,23,8,44,19,1
"569","Lagunitas Elementary",34,34,38,31,28,TRUE,59,0,2,0,16,29,2
"402","Sierra Unified",79,79,80,82,79,TRUE,18,0,15,4,43,71,1
"149","Redlands Unified",94,95,94,95,93,TRUE,4,0,17,8,NA,1568,16
"580","Vallejo City Unified",96,97,96,98,95,TRUE,1,0,21,13,NA,1343,16
"113","Moreno Valley Unified",96,97,97,98,95,TRUE,1,0,28,17,74,2595,23
"180","Morongo Unified",94,94,94,95,93,TRUE,4,0,27,14,58,845,12
"382","Santa Rita Union Elementary",95,94,98,97,92,TRUE,0,0,26,15,NA,340,4
"27","Solana Beach Elementary",94,94,94,93,93,TRUE,6,0,7,4,7,411,5
"352","Gonzales Unified",98,98,98,98,98,TRUE,0,0,28,15,NA,192,1
"600","Liberty Elementary",81,81,79,83,78,TRUE,12,0,11,3,43,125,3
"597","Petaluma City Elementary",86,86,86,86,85,TRUE,14,0,19,7,33,348,7
"467","Cabrillo Unified",88,91,90,95,84,TRUE,3,0,9,4,39,263,3
"659","Elverta Joint Elementary",85,85,85,85,85,TRUE,5,0,25,5,72,20,1
"21","Imperial Unified",98,98,98,100,96,TRUE,0,0,18,13,40,321,2
"143","Cucamonga Elementary",92,94,98,94,88,TRUE,1,1,23,8,58,358,3
"446","Mt. Pleasant Elementary",96,95,96,99,93,TRUE,0,0,20,9,56,284,4
"547","Lafayette Elementary",89,89,87,94,85,TRUE,5,0,3,1,NA,349,4
"589","River Delta Joint Unified",91,94,93,96,90,TRUE,3,0,18,5,48,187,5
"623","Santa Rosa Elementary",96,96,95,96,94,TRUE,3,0,17,11,56,1025,14
"652","Geyserville Unified",91,95,100,100,91,TRUE,0,0,13,7,NA,22,1
"445","Hilmar Unified",97,97,97,97,97,TRUE,3,0,29,17,46,188,2
