index,date,day_of_week,day_night,v_name,h_name,h_wins_last_30,h_hr_last_30,h_hits_last_30,h_runs_last_30,h_game_number,attendance
147725,2007-04-11,Wed,N,MIL,MIA,13,1.1666666666666667,9.666666666666666,4.7,9,11379
147726,2007-04-11,Wed,N,COL,LAN,19,1.2,8.966666666666667,5.166666666666667,9,35852
147727,2007-04-11,Wed,N,PHI,NYN,15,0.8333333333333334,8.766666666666667,4.5,8,41927
147728,2007-04-11,Wed,D,SLN,PIT,15,0.8333333333333334,8.1,3.433333333333333,9,9959
147729,2007-04-11,Wed,N,SFN,SDN,20,1,9.333333333333334,4.766666666666667,9,31568
147730,2007-04-11,Wed,N,DET,BAL,11,1.0333333333333334,9.4,4.266666666666667,9,13288
147731,2007-04-11,Wed,N,SEA,BOS,15,0.7666666666666667,8.366666666666667,4.533333333333333,8,36630
147732,2007-04-11,Wed,N,ANA,CLE,16,0.9666666666666667,9.5,5.366666666666666,5,16375
147733,2007-04-11,Wed,N,NYA,MIN,20,0.7,10.166666666666666,4.833333333333333,8,30131
147734,2007-04-11,Wed,D,CHA,OAK,16,0.8,8.866666666666667,4.433333333333334,10,19130
147735,2007-04-11,Wed,N,TBA,TEX,12,1.1,9.333333333333334,4.966666666666667,9,33674
147736,2007-04-11,Wed,N,KCA,TOR,19,0.9333333333333333,10.266666666666667,5.233333333333333,8,15218
147737,2007-04-12,Thu,N,WAS,ATL,19,1.6,8.966666666666667,5.333333333333333,9,23897
147738,2007-04-12,Thu,N,PHI,NYN,15,0.8333333333333334,8.8,4.566666666666666,9,33355
147739,2007-04-12,Thu,N,KCA,BAL,11,1,9.3,4.233333333333333,10,13229
147740,2007-04-12,Thu,D,ANA,CLE,15,0.9666666666666667,9.266666666666667,5.166666666666667,6,17090
147741,2007-04-12,Thu,N,TBA,MIN,20,0.7,10.1,4.7,9,15869
147742,2007-04-12,Thu,N,DET,TOR,19,0.9666666666666667,10.266666666666667,5.366666666666666,9,20416
147743,2007-04-13,Fri,N,COL,ARI,16,1,9.1,4.4,11,20219
147744,2007-04-13,Fri,N,MIA,ATL,18,1.5,8.633333333333333,5.1,10,33212
147745,2007-04-13,Fri,D,CIN,CHN,13,1.0666666666666667,9.366666666666667,4.866666666666666,9,37267
147746,2007-04-13,Fri,N,SDN,LAN,19,1.1333333333333333,8.9,5.1,10,49090
147747,2007-04-13,Fri,N,WAS,NYN,15,0.8,8.866666666666667,4.633333333333334,10,47311
147748,2007-04-13,Fri,N,HOU,PHI,15,1.1333333333333333,9.233333333333333,4.933333333333334,10,44336
147749,2007-04-13,Fri,N,SFN,PIT,14,0.7333333333333333,8.066666666666666,3.2666666666666666,10,22117
147750,2007-04-13,Fri,N,KCA,BAL,12,0.9333333333333333,9.5,4.166666666666667,11,20922
147751,2007-04-13,Fri,N,ANA,BOS,15,0.7333333333333333,8.266666666666667,4.5,9,35946
147752,2007-04-13,Fri,N,CHA,CLE,16,1.0333333333333334,9.333333333333334,5.233333333333333,7,16789
147753,2007-04-13,Fri,N,TBA,MIN,20,0.7666666666666667,10.133333333333333,4.733333333333333,10,27783
147754,2007-04-13,Fri,N,NYA,OAK,15,0.6666666666666666,8.5,4.233333333333333,11,35077
147755,2007-04-13,Fri,N,TEX,SEA,17,1.2,10,5.266666666666667,6,25243
147756,2007-04-13,Fri,N,DET,TOR,19,1,10.5,5.466666666666667,10,26268
147757,2007-04-14,Sat,N,COL,ARI,15,0.9666666666666667,8.866666666666667,4.2,12,27721
147758,2007-04-14,Sat,D,CIN,CHN,13,1.0666666666666667,9.566666666666666,4.9,10,38598
147759,2007-04-14,Sat,N,SDN,LAN,20,1.1666666666666667,9.166666666666666,5.333333333333333,11,55942
147760,2007-04-14,Sat,D,WAS,NYN,16,0.7666666666666667,8.933333333333334,4.7,11,53560
147761,2007-04-14,Sat,D,HOU,PHI,15,1.0666666666666667,9.233333333333333,5.033333333333333,11,35387
147762,2007-04-14,Sat,N,MIL,SLN,13,1.0333333333333334,8.3,4.433333333333334,10,42805
147763,2007-04-14,Sat,N,KCA,BAL,13,0.9333333333333333,9.533333333333333,4.233333333333333,12,15244
147764,2007-04-14,Sat,D,ANA,BOS,16,0.7333333333333333,8.366666666666667,4.533333333333333,10,36300
147765,2007-04-14,Sat,D,CHA,CLE,15,0.9666666666666667,9.2,5.066666666666666,8,18082
147766,2007-04-14,Sat,N,TBA,MIN,19,0.8,9.866666666666667,4.4,11,35269
147767,2007-04-14,Sat,N,NYA,OAK,16,0.7,8.5,4.266666666666667,12,35077
147768,2007-04-14,Sat,D,TEX,SEA,16,1.2,10.1,5.2,7,25954
147769,2007-04-14,Sat,D,DET,TOR,19,1.0333333333333334,10.466666666666667,5.466666666666667,11,28203
147770,2007-04-15,Sun,D,COL,ARI,16,0.8666666666666667,8.833333333333334,4.166666666666667,13,21904
147771,2007-04-15,Sun,D,MIA,ATL,17,1.5666666666666667,8.766666666666667,5.166666666666667,11,25189
147772,2007-04-15,Sun,D,CIN,CHN,14,1.0333333333333334,9.633333333333333,5.033333333333333,11,39820
147773,2007-04-15,Sun,N,SDN,LAN,19,1.1333333333333333,8.933333333333334,5.1,12,55298
147774,2007-04-15,Sun,D,MIL,SLN,13,1.0333333333333334,8.533333333333333,4.5,11,44153
147775,2007-04-15,Sun,D,CHA,CLE,16,1.0333333333333334,9.1,5,9,14887
147776,2007-04-15,Sun,D,TBA,MIN,19,0.7666666666666667,9.833333333333334,4.5,12,27024
147777,2007-04-15,Sun,D,NYA,OAK,16,0.6333333333333333,8.4,4.2,13,35077
147778,2007-04-15,Sun,D,TEX,SEA,16,1.2666666666666666,9.9,5.3,8,25001
147779,2007-04-15,Sun,D,DET,TOR,19,1.1,10.5,5.6,12,25983
147780,2007-04-16,Mon,N,LAN,ARI,17,0.9,8.833333333333334,4.233333333333333,14,27427
147781,2007-04-16,Mon,N,SDN,CHN,14,1,9.466666666666667,5,12,32126
147782,2007-04-16,Mon,N,MIL,CIN,15,0.7333333333333333,7.033333333333333,3.1666666666666665,13,12521
147783,2007-04-16,Mon,N,SFN,COL,14,1,9.5,5.833333333333333,13,18222
147784,2007-04-16,Mon,N,MIA,HOU,16,1.1666666666666667,8.566666666666666,4.3,11,30665
147785,2007-04-16,Mon,N,PIT,SLN,14,1.0333333333333334,8.6,4.6,12,43026
147786,2007-04-16,Mon,N,ATL,WAS,12,0.5666666666666667,8.2,3.566666666666667,13,16316
147787,2007-04-16,Mon,D,ANA,BOS,17,0.7333333333333333,8.333333333333334,4.666666666666667,11,35424
147788,2007-04-16,Mon,N,KCA,DET,16,1.2666666666666666,9.3,5.566666666666666,13,21832
147789,2007-04-16,Mon,N,BAL,TBA,9,1.2666666666666666,9.133333333333333,4.3,13,9157
147790,2007-04-17,Tue,N,LAN,ARI,16,0.7666666666666667,8.7,4.133333333333334,15,25735
147791,2007-04-17,Tue,D,SDN,CHN,14,1,9.6,5.133333333333334,13,36021
147792,2007-04-17,Tue,N,MIL,CIN,15,0.7666666666666667,7.2,3.3666666666666667,14,14492
